index,key_suffix,name,display_name,hex,L,a,b
28,c028,Poseidon,Poseidon Blue,#143c5d,0.345729,-0.028509,-0.067138
29,c029,Batch Brew,Batch Brew Gray,#45392f,0.354264,0.011287,0.020997
30,c030,Space Battle Blue,Space Battle Blue,#440099,0.355002,0.070641,-0.187153
31,c031,Count Chocula,Count Chocula Brown,#5e2d10,0.357660,0.054722,0.061090
32,c032,Shadow Purple,Shadow Purple,#4e334e,0.363582,0.048081,-0.031608
33,c033,Mysterious Waters,Mysterious Waters Teal,#27454a,0.369106,-0.032106,-0.017936
34,c034,Bordeaux,Bordeaux Red,#7b002c,0.372074,0.145923,0.028734
35,c035,Alligator Gladiator,Alligator Gladiator Olive,#444411,0.375500,-0.023247,0.066194
36,c036,Velvet,Velvet Magenta,#750851,0.377377,0.148625,-0.034491
37,c037,Siren,Siren Brown,#69293b,0.378076,0.093015,0.008317
38,c038,Good Karma,Good Karma Blue,#333c76,0.379830,0.007080,-0.098415
39,c039,Depths of Night,Depths of Night Blue,#2c319b,0.384858,0.009394,-0.168216
40,c040,Extraviolet,Extraviolet,#661188,0.392594,0.123443,-0.132165
41,c041,Imperial,Imperial Purple,#602f6b,0.395764,0.085312,-0.071548
42,c042,Duck Hunt,Duck Hunt Green,#005800,0.398905,-0.107681,0.082640
43,c043,Busty Blue,Busty Blue,#3300cc,0.401688,0.019664,-0.252803
44,c044,Cape Verde,Cape Verde Teal,#01554f,0.404806,-0.070010,-0.008061
45,c045,Hōjicha,Hōjicha Green,#424f3b,0.410017,-0.025665,0.025885
46,c046,Caponata,Caponata Brown,#822a10,0.414751,0.101997,0.074830
47,c047,Brunette,Brunette Brown,#664238,0.417656,0.042911,0.031420
48,c048,Olympian Blue,Olympian Blue,#1c4c8c,0.420390,-0.026769,-0.115102
49,c049,Night Kite,Night Kite Teal,#005572,0.420929,-0.053940,-0.064183
50,c050,Hyperlink Blue,Hyperlink Blue,#0000ee,0.429015,-0.030806,-0.295677
51,c051,Grape Fizz,Grape Fizz,#64435f,0.430271,0.054667,-0.029015
52,c052,Succubus,Succubus Red,#990022,0.431673,0.162074,0.062228
53,c053,Mulberry,Mulberry,#920a4e,0.432111,0.169443,-0.002573
54,c054,Galaxy Express,Galaxy Express Blue,#444499,0.434812,0.021576,-0.133710
55,c055,Royal Purpleness,Royal Purpleness,#881177,0.435794,0.164967,-0.075604
56,c056,Once in a Blue Moon,Once in a Blue Moon,#0044bb,0.437172,-0.028717,-0.194227
57,c057,Sea Serpent’s Tears,Sea Serpent’s Tears Blue,#5511cc,0.437265,0.070371,-0.232016
58,c058,Midori,Midori Green,#2a603b,0.441578,-0.073947,0.039676
59,c059,Tangent Periwinkle,Tangent Periwinkle Blue,#50507f,0.452384,0.017036,-0.074197
60,c060,Ayahuasca Vine,Ayahuasca Vine Olive,#665500,0.453088,-0.009058,0.092688
61,c061,Woodland Night,Woodland Night Teal,#475c5d,0.457886,-0.024030,-0.008705
62,c062,Bruise,Bruise Magenta,#7e4071,0.466728,0.097975,-0.044463
63,c063,Poppy Pompadour,Poppy Pompadour Purple,#6b3fa0,0.468541,0.079995,-0.129516
64,c064,Hyper Blue,Hyper Blue,#015f97,0.468842,-0.049847,-0.106014
65,c065,Royal Nightcore,Royal Nightcore Blue,#533cc6,0.470955,0.045491,-0.197416
66,c066,Liaison,Liaison Red,#8c3f52,0.473693,0.105578,0.012065
67,c067,Overdue Blue,Overdue Blue,#4400ff,0.476421,0.025778,-0.298453
68,c068,Violet Poison,Violet Poison,#8601bf,0.478814,0.155175,-0.185343
69,c069,Teal With It,Teal With It,#01697a,0.478930,-0.069628,-0.046811
70,c070,Brownstone,Brownstone,#785441,0.479643,0.037227,0.042474
71,c071,Forest Empress,Forest Empress Green,#3d7016,0.490803,-0.092443,0.092290
72,c072,Voluptuous Violet,Voluptuous Violet,#7711dd,0.491593,0.116786,-0.230908
73,c073,Brownie,Brownie,#964b00,0.496742,0.071365,0.100742
74,c074,Plastic Lips,Plastic Lips Red,#aa2266,0.497689,0.178813,-0.012838
75,c075,Desirable,Desirable Red,#a93435,0.499719,0.139651,0.062557
76,c076,Frosted Blueberries,Frosted Blueberries,#0055dd,0.501259,-0.033621,-0.216266
77,c077,Tropical Rainforest,Tropical Rainforest Green,#00755e,0.501261,-0.095709,0.012174
78,c078,Himalaya,Himalaya Olive,#736330,0.503588,-0.002835,0.072679
79,c079,Electric Indigo,Electric Indigo,#6600ff,0.503830,0.077860,-0.283145
